readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
R0170300050_tooth_RA_k119_64579	cid|450734	450734	2025	1296	60	27960	1
R0170300050_tooth_RA_k119_96897	cid|1744	1744	244	100	52	3793	1
R0170300050_tooth_RA_k119_95336	cid|54571	54571	841	841	44	6492	2
R0170300050_tooth_RA_k119_95336	cid|359	359	841	841	44	6492	2
R0170300050_tooth_RA_k119_96230	cid|1917485	1917485	625	369	40	7320	1
R0170300050_tooth_RA_k119_100715	cid|380	380	441	400	36	4098	1
R0170300050_tooth_RA_k119_81097	cid|1960083	1960083	625	0	40	23128	1
R0170300050_tooth_RA_k119_99595	cid|101571	101571	100	100	25	11069	2
R0170300050_tooth_RA_k119_99595	cid|905	905	100	100	25	11069	2
R0170300050_tooth_RA_k119_106066	cid|1610493	1610493	400	324	35	4033	1
R0170300050_tooth_RA_k119_90468	cid|712122	712122	961	256	46	16267	1
R0170300050_tooth_RA_k119_105119	cid|1710	1710	400	64	35	6549	1
R0170300050_tooth_RA_k119_104280	cid|59505	59505	5625	256	90	10536	1
R0170300050_tooth_RA_k119_106842	cid|59505	59505	3721	100	76	4365	1
R0170300050_tooth_RA_k119_113024	cid|59505	59505	3364	697	73	2560	1
R0170300050_tooth_RA_k119_108984	cid|1980001	1980001	900	144	45	3923	1
R0170300050_tooth_RA_k119_106952	cid|225326	225326	676	144	41	7414	1
R0170300050_tooth_RA_k119_104595	cid|85698	85698	289	225	32	15806	1
R0170300050_tooth_RA_k119_111095	cid|223967	223967	676	0	41	9622	1
R0170300050_tooth_RA_k119_81090	cid|37326	37326	400	0	35	31903	1
R0170300050_tooth_RA_k119_113845	cid|2066	2066	441	196	36	8769	1
R0170300050_tooth_RA_k119_108963	cid|1494608	1494608	1225	1225	50	14769	2
R0170300050_tooth_RA_k119_108963	cid|300019	300019	1225	1225	50	14769	2
R0170300050_tooth_RA_k119_115819	cid|52773	52773	1225	0	50	3480	1
R0170300050_tooth_RA_k119_113146	cid|857417	857417	961	0	46	11563	1
R0170300050_tooth_RA_k119_116187	cid|57704	57704	1089	100	48	3917	1
R0170300050_tooth_RA_k119_116247	cid|692370	692370	81	64	24	2528	1
R0170300050_tooth_RA_k119_117119	cid|1250539	1250539	64	0	23	3831	1
R0170300050_tooth_RA_k119_119288	cid|1972846	1972846	841	841	44	4260	4
R0170300050_tooth_RA_k119_119288	cid|1795053	1795053	841	841	44	4260	4
R0170300050_tooth_RA_k119_119288	cid|85698	85698	841	841	44	4260	4
R0170300050_tooth_RA_k119_119288	cid|2103230	2103230	841	841	44	4260	4
R0170300050_tooth_RA_k119_118661	cid|1004901	1004901	361	144	34	6275	1
R0170300050_tooth_RA_k119_123068	cid|413503	413503	100	100	25	3023	2
R0170300050_tooth_RA_k119_123068	cid|28141	28141	100	100	25	3023	2
R0170300050_tooth_RA_k119_114424	cid|446860	446860	6889	0	98	17520	1
R0170300050_tooth_RA_k119_118373	cid|1909395	1909395	1444	0	53	11352	1
R0170300050_tooth_RA_k119_114579	cid|68249	68249	841	0	44	15205	1
R0170300050_tooth_RA_k119_119551	cid|161879	161879	3600	144	75	12015	1
R0170300050_tooth_RA_k119_133002	cid|33011	33011	1024	900	47	3884	1
R0170300050_tooth_RA_k119_134466	cid|376	376	144	144	27	4909	2
R0170300050_tooth_RA_k119_134466	cid|33995	33995	144	144	27	4909	2
R0170300050_tooth_RA_k119_90934	cid|52773	52773	1417	0	83	33744	1
R0170300050_tooth_RA_k119_134560	cid|32002	32002	196	169	29	4829	1
R0170300050_tooth_RA_k119_134631	cid|571913	571913	169	144	28	5695	1
R0170300050_tooth_RA_k119_139231	cid|279058	279058	81	64	24	2673	1
R0170300050_tooth_RA_k119_127470	cid|1851395	1851395	1057	0	98	12492	1
R0170300050_tooth_RA_k119_141577	cid|68249	68249	196	196	29	5277	2
R0170300050_tooth_RA_k119_141577	cid|1851395	1851395	196	196	29	5277	2
R0170300050_tooth_RA_k119_132914	cid|544580	544580	6476	0	247	14317	1
R0170300050_tooth_RA_k119_145017	cid|2017485	2017485	169	169	28	5864	2
R0170300050_tooth_RA_k119_145017	cid|43669	43669	169	169	28	5864	2
R0170300050_tooth_RA_k119_141880	cid|131568	131568	81	64	24	7985	1
R0170300050_tooth_RA_k119_121507	cid|544580	544580	2314	0	92	19628	1
R0170300050_tooth_RA_k119_149114	cid|1978566	1978566	196	0	29	3418	1
R0170300050_tooth_RA_k119_146990	cid|1661	1661	289	196	32	9465	1
R0170300050_tooth_RA_k119_143867	cid|37332	37332	676	625	41	14905	1
R0170300050_tooth_RA_k119_152642	cid|59505	59505	3481	361	74	10637	1
R0170300050_tooth_RA_k119_142237	cid|1169025	1169025	529	0	38	16135	1
R0170300050_tooth_RA_k119_146558	cid|544580	544580	482	0	60	14740	1
R0170300050_tooth_RA_k119_153259	cid|37919	37919	772	0	68	5927	1
R0170300050_tooth_RA_k119_157383	unclassified	0	0	0	0	2546	1
R0170300050_tooth_RA_k119_150236	cid|1960083	1960083	676	0	41	15130	1
R0170300050_tooth_RA_k119_153423	cid|1894	1894	196	100	29	6405	1
R0170300050_tooth_RA_k119_163643	cid|33905	33905	1089	676	48	4508	1
R0170300050_tooth_RA_k119_160010	cid|106370	106370	529	225	38	8242	1
R0170300050_tooth_RA_k119_154883	cid|139208	139208	196	196	29	10659	2
R0170300050_tooth_RA_k119_154883	cid|1004901	1004901	196	196	29	10659	2
R0170300050_tooth_RA_k119_155946	cid|49319	49319	225	121	30	11013	1
R0170300050_tooth_RA_k119_153167	cid|43669	43669	1101	0	102	19008	1
R0170300050_tooth_RA_k119_170721	cid|71999	71999	740	164	68	2995	1
R0170300050_tooth_RA_k119_163742	cid|1703	1703	81	64	24	6616	1
R0170300050_tooth_RA_k119_161488	cid|337191	337191	1156	0	49	12490	1
R0170300050_tooth_RA_k119_172902	cid|75293	75293	729	729	42	2659	2
R0170300050_tooth_RA_k119_172902	cid|92644	92644	729	729	42	2659	2
R0170300050_tooth_RA_k119_167268	cid|59505	59505	3844	0	77	10676	1
R0170300050_tooth_RA_k119_176184	cid|38300	38300	256	100	31	4114	1
R0170300050_tooth_RA_k119_172233	unclassified	0	0	0	0	8750	1
R0170300050_tooth_RA_k119_136569	cid|139208	139208	2500	0	65	34987	1
R0170300050_tooth_RA_k119_173150	cid|1276	1276	585	0	63	8590	1
R0170300050_tooth_RA_k119_179176	cid|89154	89154	1024	0	47	4789	1
R0170300050_tooth_RA_k119_184237	cid|43669	43669	484	100	37	5066	1
R0170300050_tooth_RA_k119_162002	cid|585455	585455	784	0	43	19240	1
R0170300050_tooth_RA_k119_178824	cid|59505	59505	256	225	31	8564	1
R0170300050_tooth_RA_k119_173753	cid|1950	1950	529	0	38	12759	1
R0170300050_tooth_RA_k119_188705	cid|1630135	1630135	576	484	39	3898	1
R0170300050_tooth_RA_k119_181910	cid|544580	544580	1062	370	168	9884	1
R0170300050_tooth_RA_k119_168099	cid|544580	544580	818	0	70	19414	1
R0170300050_tooth_RA_k119_189455	cid|712122	712122	5375	0	232	7202	1
R0170300050_tooth_RA_k119_189963	cid|472569	472569	289	225	32	7437	1
R0170300050_tooth_RA_k119_190080	cid|60920	60920	441	196	36	7220	1
R0170300050_tooth_RA_k119_196781	cid|1652545	1652545	144	0	27	3515	1
R0170300050_tooth_RA_k119_202423	cid|196914	196914	784	100	43	2556	1
R0170300050_tooth_RA_k119_185794	cid|28450	28450	361	361	34	14910	2
R0170300050_tooth_RA_k119_185794	cid|13373	13373	361	361	34	14910	2
R0170300050_tooth_RA_k119_199655	cid|1658671	1658671	1521	0	54	5255	1
R0170300050_tooth_RA_k119_205279	unclassified	0	0	0	0	3810	1
R0170300050_tooth_RA_k119_196418	cid|1641402	1641402	529	441	38	13955	1
R0170300050_tooth_RA_k119_193537	cid|2081702	2081702	441	100	36	17430	1
R0170300050_tooth_RA_k119_207251	cid|35760	35760	196	100	29	3054	1
R0170300050_tooth_RA_k119_193745	cid|367477	367477	484	441	37	16989	1
R0170300050_tooth_RA_k119_204342	cid|111015	111015	3600	3600	75	11524	2
R0170300050_tooth_RA_k119_204342	cid|544580	544580	3600	3600	75	11524	2
R0170300050_tooth_RA_k119_214718	cid|1108595	1108595	400	256	35	4108	1
R0170300050_tooth_RA_k119_209722	cid|162426	162426	961	0	46	8456	1
R0170300050_tooth_RA_k119_205452	cid|57704	57704	2500	0	65	15384	1
R0170300050_tooth_RA_k119_215016	cid|136857	136857	484	400	37	3840	1
R0170300050_tooth_RA_k119_217345	species	134676	64	64	23	4212	5
R0170300050_tooth_RA_k119_217345	species	37330	64	64	23	4212	5
R0170300050_tooth_RA_k119_217345	genus	32008	64	64	23	4212	5
R0170300050_tooth_RA_k119_217345	species	2033844	64	64	23	4212	5
R0170300050_tooth_RA_k119_217345	genus	1883	64	64	23	4212	5
R0170300050_tooth_RA_k119_211953	cid|1903186	1903186	433	0	59	15154	1
R0170300050_tooth_RA_k119_215582	cid|300019	300019	674	169	89	8498	1
R0170300050_tooth_RA_k119_184723	cid|1960083	1960083	2314	0	92	31484	1
R0170300050_tooth_RA_k119_208940	cid|467094	467094	196	100	29	19054	1
R0170300050_tooth_RA_k119_213452	cid|1178515	1178515	784	0	43	18615	1
R0170300050_tooth_RA_k119_229833	cid|32002	32002	484	400	37	2885	1
R0170300050_tooth_RA_k119_229682	cid|37919	37919	1444	729	53	5557	1
R0170300050_tooth_RA_k119_227700	cid|2021	2021	289	169	32	11692	1
R0170300050_tooth_RA_k119_227798	cid|121292	121292	225	121	30	10044	1
R0170300050_tooth_RA_k119_228299	cid|7	7	169	81	28	7492	1
R0170300050_tooth_RA_k119_231125	cid|2018025	2018025	576	196	39	4276	1
R0170300050_tooth_RA_k119_231936	cid|136857	136857	625	0	40	3142	1
R0170300050_tooth_RA_k119_215971	cid|28025	28025	576	0	39	17067	1
R0170300050_tooth_RA_k119_218476	cid|1866	1866	196	169	29	14782	1
R0170300050_tooth_RA_k119_197265	cid|1744	1744	441	0	36	33084	1
R0170300050_tooth_RA_k119_235212	cid|240495	240495	529	64	38	4618	1
R0170300050_tooth_RA_k119_232703	cid|29303	29303	2401	900	64	8662	1
R0170300050_tooth_RA_k119_235976	cid|404589	404589	225	121	30	8238	1
R0170300050_tooth_RA_k119_241305	cid|1680	1680	625	625	40	4321	4
R0170300050_tooth_RA_k119_241305	cid|1783515	1783515	625	625	40	4321	4
R0170300050_tooth_RA_k119_241305	cid|1751294	1751294	625	625	40	4321	4
R0170300050_tooth_RA_k119_241305	cid|1894	1894	625	625	40	4321	4
R0170300050_tooth_RA_k119_240561	genus	33981	3025	3025	70	5981	5
R0170300050_tooth_RA_k119_240561	family	85017	3025	3025	70	5981	5
R0170300050_tooth_RA_k119_240561	genus	414878	3025	3025	70	5981	5
R0170300050_tooth_RA_k119_240561	genus	1862	3025	3025	70	5981	5
R0170300050_tooth_RA_k119_240561	genus	33886	3025	3025	70	5981	5
R0170300050_tooth_RA_k119_240813	cid|1750	1750	2809	256	68	7573	1
R0170300050_tooth_RA_k119_238944	genus	1883	1681	1681	56	11000	3
R0170300050_tooth_RA_k119_238944	species	43357	1681	1681	56	11000	3
R0170300050_tooth_RA_k119_238944	species	1653480	1681	1681	56	11000	3
R0170300050_tooth_RA_k119_241921	cid|1711	1711	576	121	39	5306	1
R0170300050_tooth_RA_k119_243466	cid|2079227	2079227	529	0	38	5047	1
R0170300050_tooth_RA_k119_245000	cid|453304	453304	81	64	24	2835	1
R0170300050_tooth_RA_k119_246050	cid|1561022	1561022	1225	1225	50	3493	2
R0170300050_tooth_RA_k119_246050	cid|1888	1888	1225	1225	50	3493	2
R0170300050_tooth_RA_k119_241642	cid|1003110	1003110	2209	0	62	12471	1
R0170300050_tooth_RA_k119_244851	cid|857417	857417	1444	0	53	8763	1
R0170300050_tooth_RA_k119_245290	cid|1223514	1223514	64	0	23	6776	1
R0170300050_tooth_RA_k119_246616	cid|1331682	1331682	729	0	42	4525	1
R0170300050_tooth_RA_k119_243737	cid|712122	712122	1625	0	87	12146	1
R0170300050_tooth_RA_k119_252633	cid|139208	139208	784	784	43	3745	3
R0170300050_tooth_RA_k119_252633	cid|1230998	1230998	784	784	43	3745	3
R0170300050_tooth_RA_k119_252633	cid|1689	1689	784	784	43	3745	3
R0170300050_tooth_RA_k119_247537	cid|59505	59505	145	0	47	7826	1
R0170300050_tooth_RA_k119_248068	cid|317	317	144	144	27	5999	2
R0170300050_tooth_RA_k119_248068	cid|1795053	1795053	144	144	27	5999	2
R0170300050_tooth_RA_k119_239516	cid|544580	544580	1763	0	158	20812	1
R0170300050_tooth_RA_k119_253146	cid|367477	367477	256	169	31	6862	1
R0170300050_tooth_RA_k119_234613	cid|2051	2051	676	625	41	23812	1
R0170300050_tooth_RA_k119_253527	cid|1795053	1795053	169	169	28	4751	2
R0170300050_tooth_RA_k119_253527	cid|2103230	2103230	169	169	28	4751	2
R0170300050_tooth_RA_k119_256360	cid|1616117	1616117	64	0	23	4212	1
R0170300050_tooth_RA_k119_277427	genus	379	81	0	24	2643	1
R0170300050_tooth_RA_k119_276118	cid|1304	1304	144	144	27	2865	2
R0170300050_tooth_RA_k119_276118	cid|1307	1307	144	144	27	2865	2
R0170300050_tooth_RA_k119_275044	cid|862751	862751	256	256	31	4853	2
R0170300050_tooth_RA_k119_275044	cid|68202	68202	256	256	31	4853	2
R0170300050_tooth_RA_k119_278455	cid|1708	1708	433	0	59	2995	1
R0170300050_tooth_RA_k119_282045	cid|84757	84757	3969	3481	78	2966	1
R0170300050_tooth_RA_k119_254396	cid|2059884	2059884	529	0	38	10433	1
R0170300050_tooth_RA_k119_262482	cid|2014	2014	1089	81	48	10730	1
R0170300050_tooth_RA_k119_261799	cid|1134435	1134435	729	625	42	14008	1
R0170300050_tooth_RA_k119_285886	cid|1710	1710	196	0	29	3081	1
R0170300050_tooth_RA_k119_285736	cid|1814	1814	1024	0	47	5111	1
R0170300050_tooth_RA_k119_286364	cid|1797	1797	1296	169	51	6134	1
R0170300050_tooth_RA_k119_290216	cid|69	69	64	64	23	3051	2
R0170300050_tooth_RA_k119_290216	cid|2126319	2126319	64	64	23	3051	2
R0170300050_tooth_RA_k119_269119	cid|2033	2033	289	0	32	15956	1
R0170300050_tooth_RA_k119_289982	cid|488729	488729	576	576	39	5453	2
R0170300050_tooth_RA_k119_289982	cid|292	292	576	576	39	5453	2
R0170300050_tooth_RA_k119_280555	cid|1714373	1714373	121	121	26	13948	2
R0170300050_tooth_RA_k119_280555	cid|1920667	1920667	121	121	26	13948	2
R0170300050_tooth_RA_k119_296890	cid|1896961	1896961	441	441	36	3692	2
R0170300050_tooth_RA_k119_296890	cid|43357	43357	441	441	36	3692	2
R0170300050_tooth_RA_k119_289193	cid|1915	1915	400	121	35	10850	1
R0170300050_tooth_RA_k119_297055	cid|1902	1902	529	144	38	6923	1
R0170300050_tooth_RA_k119_282519	cid|1795053	1795053	1130	0	76	15946	1
R0170300050_tooth_RA_k119_295837	cid|67267	67267	484	484	37	9303	2
R0170300050_tooth_RA_k119_295837	cid|68249	68249	484	484	37	9303	2
R0170300050_tooth_RA_k119_298437	cid|1852377	1852377	225	144	30	7078	1
R0170300050_tooth_RA_k119_297939	cid|111015	111015	1129	0	77	7438	1
R0170300050_tooth_RA_k119_291709	cid|1980001	1980001	400	144	35	12459	1
R0170300050_tooth_RA_k119_305180	cid|1852377	1852377	784	0	43	3888	1
R0170300050_tooth_RA_k119_305938	cid|52773	52773	144	81	27	3789	1
R0170300050_tooth_RA_k119_308118	cid|1866	1866	169	169	28	4720	2
R0170300050_tooth_RA_k119_308118	cid|28068	28068	169	169	28	4720	2
R0170300050_tooth_RA_k119_307172	cid|1004901	1004901	289	289	32	4652	2
R0170300050_tooth_RA_k119_307172	cid|68249	68249	289	289	32	4652	2
R0170300050_tooth_RA_k119_301854	cid|1851395	1851395	485	0	61	10521	1
R0170300050_tooth_RA_k119_308238	cid|1851395	1851395	1024	0	47	4111	1
R0170300050_tooth_RA_k119_308586	cid|2018025	2018025	529	0	38	4670	1
R0170300050_tooth_RA_k119_316577	cid|196162	196162	256	100	31	4541	1
R0170300050_tooth_RA_k119_312963	cid|1814	1814	289	289	32	4406	2
R0170300050_tooth_RA_k119_312963	cid|110539	110539	289	289	32	4406	2
R0170300050_tooth_RA_k119_306455	cid|152794	152794	289	121	32	11466	1
R0170300050_tooth_RA_k119_317106	cid|68173	68173	324	0	33	4149	1
R0170300050_tooth_RA_k119_303592	cid|1909732	1909732	529	529	38	12689	2
R0170300050_tooth_RA_k119_303592	cid|712122	712122	529	529	38	12689	2
R0170300050_tooth_RA_k119_316817	cid|2033844	2033844	324	324	33	8511	4
R0170300050_tooth_RA_k119_316817	cid|134676	134676	324	324	33	8511	4
R0170300050_tooth_RA_k119_316817	cid|182640	182640	324	324	33	8511	4
R0170300050_tooth_RA_k119_316817	cid|2001	2001	324	324	33	8511	4
R0170300050_tooth_RA_k119_312770	cid|444103	444103	324	256	33	10008	1
R0170300050_tooth_RA_k119_321610	cid|1866	1866	100	81	25	6302	1
R0170300050_tooth_RA_k119_318757	cid|446860	446860	529	529	38	14151	2
R0170300050_tooth_RA_k119_318757	cid|1909395	1909395	529	529	38	14151	2
R0170300050_tooth_RA_k119_242821	cid|1616117	1616117	676	0	41	50207	1
R0170300050_tooth_RA_k119_320371	cid|60920	60920	1326	0	105	26184	1
